name,zone,difficulty,active_time,weight,meat_stars,drops,recipes,image_url,image_filename,wiki_url,caught,breeding_pair,is_dlc,is_event_locked,best_capture_method
American Lobster,Blue Hole Shallows (0-50m)[],8,Day,1kg,3,,American Lobster Sushi; Lobster Platter,https://static.wikia.nocookie.net/dave-the-diver/images/2/2a/American_Lobster_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20240612160157,American_Lobster.png,https://dave-the-diver.fandom.com/wiki/American_Lobster,False,False,False,False,Tranquilizer/Net (3-star)
Barrel Jellyfish,Blue Hole Shallows (0-50m)[],2,Day,1kg,3,Barrel Jellyfish Tentacle,Barrel Jellyfish Sushi; Seasoned Jellyfish,https://static.wikia.nocookie.net/dave-the-diver/images/3/3f/Barrel_Jellyfish_Thumbnail.png/revision/latest/scale-to-width-down/47?cb=20230727174136,Barrel_Jellyfish.png,https://dave-the-diver.fandom.com/wiki/Barrel_Jellyfish,False,False,False,False,Harpoon (2-star)
Big-Belly Seahorse,Blue Hole Shallows (0-50m)[],2,Day,0.5kg,5,,Fried Seahorses; Seahorse Salad; Seahorse Skewers; Seahorse Udon,https://static.wikia.nocookie.net/dave-the-diver/images/4/42/Seahorse_07_Thumbnail.png/revision/latest/scale-to-width-down/26?cb=20230728052730,Big_Belly_Seahorse.png,https://dave-the-diver.fandom.com/wiki/Big-Belly_Seahorse,False,False,False,False,Bug Net (3-star)
Black and White Snapper,Blue Hole Shallows (0-50m)[],1,Day,1kg,5,,B&W Snapper Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/1/15/Black_and_White_Snapper_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727174907,Black_and_White_Snapper.png,https://dave-the-diver.fandom.com/wiki/Black_and_White_Snapper,False,False,False,False,Harpoon (2-star)
Blacktip Reefshark,Blue Hole Shallows (0-50m)[],6,Night,2.5kg,9,Blacktip Shark Meat,Blacktip Reefshark Sushi; Shark Karaage,https://static.wikia.nocookie.net/dave-the-diver/images/8/86/Blacktip_ReefShark_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727175226,Blacktip_Reefshark.png,https://dave-the-diver.fandom.com/wiki/Blacktip_Reefshark,False,False,False,False,Harpoon (2-star)
Blue Lobster,Blue Hole Shallows (0-50m)[],8,Night,1kg,3,,Blue Lobster Sushi; Truffle Blue Lobster Tail Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/a/ab/Blue_Lobster_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20231228012904,Blue_Lobster.png,https://dave-the-diver.fandom.com/wiki/Blue_Lobster,False,False,False,False,Tranquilizer/Net (3-star)
Blue Tang,Blue Hole Shallows (0-50m)[],1,Day,0.5,3,,Blue Tang Sushi; Roasted Tropical Fish and Garlic,https://static.wikia.nocookie.net/dave-the-diver/images/e/e6/Bluetang_Thumbnail.png/revision/latest?cb=20230727175538,Blue_Tang.png,https://dave-the-diver.fandom.com/wiki/Blue_Tang,False,False,False,False,Harpoon (2-star)
Bluefin Tuna,Blue Hole Shallows (0-50m)[],7,Day,8kg,9,Bluefin Tuna Akami; Bluefin Tuna Chutoro; Bluefin Tuna Ootoro,Bluefin Tuna Akami Sushi; Bluefin Tuna Rice Bowl; Bluefin Tuna Chutoro Sushi; Chirashi Sushi; Hot Pepper Tuna; Bluefin Tuna Ootoro Sushi; Hyalonema Tuna Sashimi,https://static.wikia.nocookie.net/dave-the-diver/images/e/e5/BlueFin_Tuna_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727175812,Bluefin_Tuna.png,https://dave-the-diver.fandom.com/wiki/Bluefin_Tuna,False,False,False,False,Harpoon (2-star)
Box Jellyfish,Blue Hole Shallows (0-50m)[],5,Night,5kg,3,Box Jellyfish Tentacle,Box Jellyfish Sushi; Cold Jellyfish & Green Sea Urchin Salad,https://static.wikia.nocookie.net/dave-the-diver/images/e/e0/Box_Jellyfish_Thumbnail.png/revision/latest/scale-to-width-down/39?cb=20230727180046,Box_Jellyfish.png,https://dave-the-diver.fandom.com/wiki/Box_Jellyfish,False,False,False,False,Harpoon (2-star)
Cardinal Fish,Blue Hole Shallows (0-50m)[],1,Day,0.2kg,3,,Cardinalfish Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/2/26/Ruby_CardinalFish_Thumbnail.png/revision/latest?cb=20230727180145,Cardinal_Fish.png,https://dave-the-diver.fandom.com/wiki/Cardinal_Fish,False,False,False,False,Harpoon (2-star)
